0, 0, 0, 0, 0, 0, 0, 0, 0, 49.3602, -65.1803, 21.7268, 0, 0, 
8.1917e-06, -1.0812e-05, 3.60401e-06, 0.00245314, -0.0032372, 0.00107907, 0.48888, -0.644877, 0.214959, 48.3123, -63.6433, 21.2144, 0, 0, 
6.51844e-05, -8.59841e-05, 2.86614e-05, 0.00974279, -0.0128465, 0.00428216, 0.967316, -1.27444, 0.424812, 47.2721, -62.1181, 20.706, 0, 0, 
0.000218822, -0.000288473, 9.61577e-05, 0.0217649, -0.0286753, 0.00955842, 1.43538, -1.8888, 0.629599, 46.2394, -60.6046, 20.2015, 0, 0, 
0.000515913, -0.000679716, 0.000226572, 0.0384162, -0.0505721, 0.0168574, 1.89316, -2.48808, 0.829358, 45.2145, -59.1029, 19.701, 0, 0, 
0.00100223, -0.00131964, 0.000439881, 0.059594, -0.0783869, 0.026129, 2.34072, -3.07239, 1.02413, 44.1972, -57.613, 19.2043, 0, 0, 
0.00172254, -0.00226668, 0.000755561, 0.0851968, -0.11197, 0.0373235, 2.77814, -3.64186, 1.21395, 43.1875, -56.1348, 18.7116, 0, 0, 
0.00272058, -0.00357779, 0.0011926, 0.115123, -0.151175, 0.0503916, 3.2055, -4.1966, 1.39887, 42.1855, -54.6684, 18.2228, 0, 0, 
0.00403909, -0.00530843, 0.00176948, 0.149274, -0.195854, 0.0652846, 3.62288, -4.73673, 1.57891, 41.1912, -53.2138, 17.7379, 0, 0, 
0.0057198, -0.00751262, 0.00250421, 0.187548, -0.245861, 0.0819537, 4.03034, -5.26236, 1.75412, 40.2045, -51.7709, 17.257, 0, 0, 
0.00780346, -0.0102429, 0.00341431, 0.229848, -0.301053, 0.100351, 4.42797, -5.77362, 1.92454, 39.2254, -50.3399, 16.78, 0, 0, 
0.0103298, -0.0135505, 0.00451683, 0.276075, -0.361286, 0.120429, 4.81585, -6.27062, 2.09021, 38.254, -48.9206, 16.3069, 0, 0, 
0.0133377, -0.017485, 0.00582833, 0.326132, -0.426418, 0.142139, 5.19405, -6.75349, 2.25116, 37.2903, -47.513, 15.8377, 0, 0, 
0.0168649, -0.0220947, 0.00736491, 0.379924, -0.496309, 0.165436, 5.56264, -7.22233, 2.40744, 36.3342, -46.1172, 15.3724, 0, 0, 
0.0209483, -0.0274266, 0.00914219, 0.437353, -0.570819, 0.190273, 5.92171, -7.67726, 2.55909, 35.3857, -44.7332, 14.9111, 0, 0, 
0.0256238, -0.033526, 0.0111753, 0.498326, -0.649808, 0.216603, 6.27133, -8.11841, 2.70614, 34.4449, -43.361, 14.4537, 0, 0, 
0.0309264, -0.0404372, 0.0134791, 0.562749, -0.733141, 0.24438, 6.61157, -8.54589, 2.84863, 33.5118, -42.0005, 14.0002, 0, 0, 
0.03689, -0.0482029, 0.0160676, 0.630527, -0.820681, 0.27356, 6.94252, -8.95981, 2.9866, 32.5863, -40.6518, 13.5506, 0, 0, 
0.0435478, -0.0568644, 0.0189548, 0.701568, -0.912293, 0.304098, 7.26424, -9.3603, 3.1201, 31.6684, -39.3149, 13.105, 0, 0, 
0.0509319, -0.0664618, 0.0221539, 0.775781, -1.00784, 0.335948, 7.57682, -9.74748, 3.24916, 30.7582, -37.9898, 12.6633, 0, 0, 
0.0590737, -0.0770339, 0.025678, 0.853074, -1.1072, 0.369066, 7.88034, -10.1215, 3.37382, 29.8557, -36.6764, 12.2255, 0, 0, 
0.0680034, -0.0886181, 0.0295394, 0.933358, -1.21023, 0.403409, 8.17486, -10.4824, 3.49412, 28.9608, -35.3748, 11.7916, 0, 0, 
0.0777505, -0.10125, 0.0337501, 1.01654, -1.3168, 0.438934, 8.46047, -10.8303, 3.6101, 28.0736, -34.0849, 11.3616, 0, 0, 
0.0883436, -0.114965, 0.0383218, 1.10254, -1.42679, 0.475597, 8.73724, -11.1654, 3.72179, 27.194, -32.8068, 10.9356, 0, 0, 
0.0998103, -0.129797, 0.0432657, 1.19126, -1.54007, 0.513356, 9.00525, -11.4877, 3.82925, 26.322, -31.5405, 10.5135, 0, 0, 
0.112178, -0.145777, 0.0485925, 1.28261, -1.6565, 0.552168, 9.26458, -11.7975, 3.9325, 25.4577, -30.286, 10.0953, 0, 0, 
0.125471, -0.162937, 0.0543124, 1.37652, -1.77598, 0.591992, 9.51529, -12.0947, 4.03158, 24.6011, -29.0432, 9.68107, 0, 0, 
0.139716, -0.181307, 0.0604355, 1.47289, -1.89836, 0.632786, 9.75748, -12.3796, 4.12654, 23.7521, -27.8122, 9.27073, 0, 0, 
0.154937, -0.200914, 0.0669712, 1.57164, -2.02353, 0.674509, 9.99121, -12.6523, 4.21742, 22.9108, -26.593, 8.86432, 0, 0, 
0.171157, -0.221786, 0.0739287, 1.67269, -2.15136, 0.717121, 10.2166, -12.9127, 4.30425, 22.0771, -25.3855, 8.46183, 0, 0, 
0.188398, -0.243949, 0.0813165, 1.77595, -2.28174, 0.760581, 10.4336, -13.1612, 4.38707, 21.2511, -24.1898, 8.06327, 0, 0, 
0.206683, -0.267429, 0.089143, 1.88133, -2.41455, 0.804849, 10.6424, -13.3978, 4.46592, 20.4327, -23.0059, 7.66862, 0, 0, 
0.226031, -0.292248, 0.097416, 1.98877, -2.54966, 0.849886, 10.8431, -13.6225, 4.54085, 19.6219, -21.8337, 7.27791, 0, 0, 
