0,0,0,0,0,0,0,-5.82452,-8.29307,0
0.001,-2.91226e-06,-4.14654e-06,0,-0.00582452,-0.00829307,0,-5.82452,-8.29307,0
0.002,-1.1649e-05,-1.65861e-05,0,-0.011649,-0.0165861,0,-5.82452,-8.29307,0
0.003,-2.62103e-05,-3.73188e-05,0,-0.0174736,-0.0248792,0,-5.82452,-8.29307,0
0.004,-4.65962e-05,-6.63446e-05,0,-0.0232981,-0.0331723,0,-5.82452,-8.29307,0
0.005,-7.28065e-05,-0.000103663,0,-0.0291226,-0.0414654,0,-5.82452,-8.29307,0
0.006,-0.000104841,-0.000149275,0,-0.0349471,-0.0497584,0,-5.82452,-8.29307,0
0.007,-0.000142701,-0.00020318,0,-0.0407717,-0.0580515,0,-5.82452,-8.29307,0
0.008,-0.000186385,-0.000265378,0,-0.0465962,-0.0663446,0,-5.82452,-8.29307,0
0.009,-0.000235893,-0.000335869,0,-0.0524207,-0.0746377,0,-5.82452,-8.29307,0
0.01,-0.000291226,-0.000414654,0,-0.0582452,-0.0829307,0,-5.82452,-8.29307,0
0.011,-0.000352384,-0.000501731,0,-0.0640697,-0.0912238,0,-5.82452,-8.29307,0
0.012,-0.000419366,-0.000597101,0,-0.0698943,-0.0995169,0,-5.82452,-8.29307,0
0.013,-0.000492172,-0.000700765,0,-0.0757188,-0.10781,0,-5.82452,-8.29307,0
0.014,-0.000570803,-0.000812721,0,-0.0815433,-0.116103,0,-5.82452,-8.29307,0
0.015,-0.000655259,-0.000932971,0,-0.0873678,-0.124396,0,-5.82452,-8.29307,0
0.016,-0.000745539,-0.00106151,0,-0.0931923,-0.132689,0,-5.82452,-8.29307,0
0.017,-0.000841643,-0.00119835,0,-0.0990169,-0.140982,0,-5.82452,-8.29307,0
0.018,-0.000943573,-0.00134348,0,-0.104841,-0.149275,0,-5.82452,-8.29307,0
0.019,-0.00105133,-0.0014969,0,-0.110666,-0.157568,0,-5.82452,-8.29307,0
0.02,-0.0011649,-0.00165861,0,-0.11649,-0.165861,0,-5.82452,-8.29307,0
0.021,-0.00128431,-0.00182862,0,-0.122315,-0.174155,0,-5.82452,-8.29307,0
0.022,-0.00140953,-0.00200692,0,-0.128139,-0.182448,0,-5.82452,-8.29307,0
0.023,-0.00154059,-0.00219352,0,-0.133964,-0.190741,0,-5.82452,-8.29307,0
0.024,-0.00167746,-0.00238841,0,-0.139789,-0.199034,0,-5.82452,-8.29307,0
0.025,-0.00182016,-0.00259159,0,-0.145613,-0.207327,0,-5.82452,-8.29307,0
0.026,-0.00196869,-0.00280306,0,-0.151438,-0.21562,0,-5.82452,-8.29307,0
0.027,-0.00212304,-0.00302283,0,-0.157262,-0.223913,0,-5.82452,-8.29307,0
0.028,-0.00228321,-0.00325088,0,-0.163087,-0.232206,0,-5.82452,-8.29307,0
0.029,-0.00244921,-0.00348724,0,-0.168911,-0.240499,0,-5.82452,-8.29307,0
0.03,-0.00262103,-0.00373188,0,-0.174736,-0.248792,0,-5.82452,-8.29307,0
0.031,-0.00279868,-0.00398482,0,-0.18056,-0.257085,0,-5.82452,-8.29307,0
0.032,-0.00298216,-0.00424605,0,-0.186385,-0.265378,0,-5.82452,-8.29307,0
0.033,-0.00317145,-0.00451558,0,-0.192209,-0.273671,0,-5.82452,-8.29307,0
0.034,-0.00336657,-0.0047934,0,-0.198034,-0.281965,0,-5.82452,-8.29307,0
0.035,-0.00356752,-0.00507951,0,-0.203858,-0.290258,0,-5.82452,-8.29307,0
0.036,-0.00377429,-0.00537391,0,-0.209683,-0.298551,0,-5.82452,-8.29307,0
0.037,-0.00398689,-0.00567661,0,-0.215507,-0.306844,0,-5.82452,-8.29307,0
0.038,-0.0042053,-0.0059876,0,-0.221332,-0.315137,0,-5.82452,-8.29307,0
0.039,-0.00442955,-0.00630688,0,-0.227156,-0.32343,0,-5.82452,-8.29307,0
0.04,-0.00465962,-0.00663446,0,-0.232981,-0.331723,0,-5.82452,-8.29307,0
0.041,-0.00489551,-0.00697033,0,-0.238805,-0.340016,0,-5.82452,-8.29307,0
0.042,-0.00513723,-0.00731449,0,-0.24463,-0.348309,0,-5.82452,-8.29307,0
0.043,-0.00538477,-0.00766695,0,-0.250454,-0.356602,0,-5.82452,-8.29307,0
0.044,-0.00563814,-0.0080277,0,-0.256279,-0.364895,0,-5.82452,-8.29307,0
0.045,-0.00589733,-0.00839674,0,-0.262103,-0.373188,0,-5.82452,-8.29307,0
0.046,-0.00616234,-0.00877407,0,-0.267928,-0.381481,0,-5.82452,-8.29307,0
0.047,-0.00643318,-0.0091597,0,-0.273753,-0.389774,0,-5.82452,-8.29307,0
0.048,-0.00670985,-0.00955362,0,-0.279577,-0.398068,0,-5.82452,-8.29307,0
0.049,-0.00699234,-0.00995583,0,-0.285402,-0.406361,0,-5.82452,-8.29307,0
0.05,-0.00728065,-0.0103663,0,-0.291226,-0.414654,0,-5.82452,-8.29307,0
0.051,-0.00757479,-0.0107851,0,-0.297051,-0.422947,0,-5.82452,-8.29307,0
0.052,-0.00787475,-0.0112122,0,-0.302875,-0.43124,0,-5.82452,-8.29307,0
0.053,-0.00818054,-0.0116476,0,-0.3087,-0.439533,0,-5.82452,-8.29307,0
0.054,-0.00849215,-0.0120913,0,-0.314524,-0.447826,0,-5.82452,-8.29307,0
0.055,-0.00880959,-0.0125433,0,-0.320349,-0.456119,0,-5.82452,-8.29307,0
0.056,-0.00913285,-0.0130035,0,-0.326173,-0.464412,0,-5.82452,-8.29307,0
