t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19,mu_20,nu_20,tau_20
0,0.0,0.0,0.0,1.0,-2.907564374054435e-25,0.0,-3.3731298266478934e-25,0.0,1.2791679693472306e-21,8.364803114753809e-33,-7.3901485980679e-27,1.0770328719746794e-25,1.1168635496675693e-23,-2.5250222774074938e-06,-0.007156278232436904,-1.6025973764185597,11.394485585069145,0.014348684549664615,-9.571376429283765,0.5000010987030152,4.488073498867034,0.5000001994109685,4.488074823650086,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0214606,-4.5466142132197884e-10,-8.249415188503472e-07,-0.0003706652493218344,0.9999985321444981,0.0013119515302701342,8.259111464001696e-07,-0.0011020391508752964,-5.418844426927475e-08,-0.00015357788627987188,-0.034392670272717855,0.2445322770528287,0.00030793110223772675,-0.2054072959510729,-6.449753455593174e-05,-0.05089270918083804,-1.4550535333410695,11.581322753537387,0.10163567721283283,-9.728596729402716,0.5000014751679707,4.55358176078112,0.5000002284867365,4.553583884042513,0.9999561770321815,4.3822967818444284e-05,0.08096361167244853,0.9999773378128409,2.2662187159090415e-05,0.08894269653274185,0.999977579752681,2.24202473190708e-05,0.08000024545222463,0.9999778217587559,2.217824124399547e-05,0.0799999337452035,0.9999780638985837,2.1936101416309596e-05,0.0802067862162098,0.999979338824268,2.0661175731989657e-05,0.07999812414685901,0.9999806183017859,1.9381698214188658e-05,0.07999676813489442,0.9999819016998575,1.8098300142622062e-05,0.08002141149422655,0.9999832104476395,1.6789552360547097e-05,0.07999440532515167,0.9999845224166724,1.5477583327604947e-05,0.07999337052728023,0.9999858374784263,1.4162521573762827e-05,0.08000481020712717,0.9999871591580929,1.2840841907034093e-05,0.07999155054879707,0.9999884840233393,1.151597666066653e-05,0.07999074604414916,0.9999898123908532,1.0187609146837234e-05,0.07999866109460738,0.9999911460115377,8.853988462284574e-06,0.07998931059348292,0.9999924848554663,7.515144533733099e-06,0.07998866682186082,0.9999938309614376,6.169038562441081e-06,0.07999545415400115,0.9999951888845255,4.811115474459101e-06,0.0799874992164712,0.9999965662900324,3.4337099676013427e-06,0.07998696365162505,0.9999979845176149,2.0154823850326014e-06,0.07999345038702664,0.9999995289867333,4.7101326673574703e-07,0.07998592639907119
0.0429212,-1.1860528339372091e-08,-1.3321606173241685e-05,-0.001445275511660351,0.9999763211618498,0.005269310949466816,1.3299298370107117e-05,-0.0044262039518844975,-1.4383429874039035e-06,-0.001245764976997246,-0.06561896399921052,0.49307418823108995,0.002489091751668615,-0.4141886308352762,-0.00044556989072263924,-0.14058167489993875,-1.3122779212595448,11.766468086112132,0.2800098450163329,-9.885815641335117,0.5000020801658808,4.6190891135044385,0.5000002668360722,4.6190929346101095,0.9999123737957424,4.380323643915689e-05,0.08093376150645881,0.9999546770326077,2.2660780233290773e-05,0.08831930898581697,0.9999549862523064,2.2593500374525856e-05,0.08000047282988447,0.999955295488532,2.2526270223944625e-05,0.08000038423295809,0.9999556047586977,2.2459139885986352e-05,0.08073109149721107,0.9999582474291787,2.1091395089263306e-05,0.07999861349264972,0.9999608929533611,1.9725348424788863e-05,0.0799971185292116,0.9999635405821444,1.8361117713014086e-05,0.08002359764574096,0.9999661986591881,1.701178845129174e-05,0.07999459037617705,0.9999688578465135,1.5664570158865665e-05,0.0799935122589875,0.9999715180316973,1.4319446729088512e-05,0.0800051729628843,0.9999741804269866,1.2978731106304119e-05,0.07999163819286896,0.9999768442286774,1.1639794661928967e-05,0.07999081848742276,0.9999795102430681,1.0302147785066864e-05,0.07999878302177428,0.9999821810007302,8.965010807623327e-06,0.07998936615088655,0.9999848581361692,7.626719297036832e-06,0.07998871866400746,0.9999875465164616,6.284444975933914e-06,0.07999552432055054,0.9999902566394024,4.9322451231053915e-06,0.07998754809404388,0.9999930067807739,3.5595092585780863e-06,0.07998701109064978,0.9999958465598108,2.137957804191101e-06,0.07999349788223116,0.9999989719407284,5.570460048023968e-07,0.07998595438940788
0.0643817,-1.2139269235102708e-07,-6.814493232555723e-05,-0.003156936781978358,0.9998789275788881,0.011914758249917959,6.792480318898686e-05,-0.01000819732051835,-1.1000531569866871e-05,-0.004262729351433629,-0.09378121018540392,0.7455894257541167,0.00849826561808481,-0.6263439748613204,-0.001684467246537304,-0.2785686003130336,-1.1757678702890593,11.94708281235926,0.5537625914592735,-10.043029600990712,0.5000032169421866,4.684592900533833,0.5000003196922508,4.684601970259535,0.9998685806687716,4.3793126970883086e-05,0.0809188362401998,0.999932017472122,2.2659560485617758e-05,0.08782299731536164,0.9999323657143013,2.262053800508698e-05,0.08000050857426928,0.9999327139648906,2.258152364146096e-05,0.08000045727935082,0.999933062233556,2.254252514165585e-05,0.08118433190884616,0.9999370919750226,2.1155454156190218e-05,0.0799986880513009,0.9999411234499265,1.976950343456362e-05,0.07999716412397832,0.9999451547402718,1.8385841872604375e-05,0.08002381639587713,0.9999491678688011,1.7030790387018548e-05,0.0799946061971612,0.9999531783066574,1.5679539856122662e-05,0.07999352372761374,0.999957185757592,1.4332274105275674e-05,0.08000520330488162,0.9999611864107285,1.2994016258198694e-05,0.07999164805148516,0.9999651846836007,1.1659545076590553e-05,0.07999083012833977,0.999969181980773,1.0328262295162764e-05,0.07999881113774465,0.9999731813421184,8.999658611798963e-06,0.07998938353014441,0.9999771869468559,7.671189313280577e-06,0.07998873933521325,0.9999812070615265,6.339454935053346e-06,0.07999555809238387,0.9999852590857624,4.99755364000895e-06,0.0799875745424629,0.9999893736666728,3.633114100943808e-06,0.07998703907413798,0.9999936330492898,2.213510520924691e-06,0.07999352749631335,0.9999983595731949,6.123675334262775e-07,0.07998597254997374
0.0858423,-6.761426813574783e-07,-0.00021765842846870027,-0.005441261459419173,0.9996133885199283,0.02128972014494359,0.00021666896116694152,-0.017882228147377333,-4.71501767944324e-05,-0.010240973269634353,-0.11901387141094304,1.0019807601793465,0.020382332382244024,-0.8418732217504697,-0.004842187036159645,-0.36152862209021547,-2.957790872859324,8.764127774486939,-1.6662189074676432,-7.3628356458000965,0.5000063337062198,2.3855921211511584,0.500000397316027,4.750110981371167,0.9998247939300069,4.378673876462393e-05,0.08090890444519752,0.9999093590193732,2.2658452748823057e-05,0.0873784404683717,0.9999097341627978,2.2631551503533204e-05,0.08000052300140377,0.9999101093112439,2.2604653646566017e-05,0.08000048846702972,0.9999104844715097,2.2577762046407914e-05,0.08160257015861858,0.9999159198959138,2.1172079108731806e-05,0.07999870785297726,0.9999213554455036,1.976800442281875e-05,0.0799971621929522,0.9999267872669811,1.8367473290630475e-05,0.08002365125577897,0.9999321571546291,1.7010714172005657e-05,0.07999458894004975,0.9999375185885451,1.565971811237362e-05,0.07999350871802696,0.9999428711295225,1.4314628069335298e-05,0.0800051619483936,0.9999482039675843,1.2982443144123277e-05,0.07999164092836551,0.9999535290403758,1.1655643224893751e-05,0.07999082793344106,0.9999588486367428,1.033334403017444e-05,0.079998816623912,0.9999641664198666,9.014922251750275e-06,0.07998939112287268,0.9999694898043412,7.69714251470825e-06,0.07998875123551477,0.9999748309224394,6.37613908710174e-06,0.07999558068731263,0.999980214752299,5.044333463384503e-06,0.07998759347385391,0.9999856855357967,3.688130876169978e-06,0.07998706026511229,0.9999913615575543,2.271491735502063e-06,0.07999355044350322,0.9999977041767009,6.553964941802848e-07,0.07998598688534807
0.107303,-2.5393088105040714e-06,-0.000514574157960487,-0.00867910891877994,0.9990684098295353,0.03303990222936235,0.00023789881903909152,-0.02776006067503275,-0.00015106632228671884,-0.017999587427287484,-0.18248978103288455,1.1900640312561448,-0.015375692889685514,-0.9998839500621074,-0.025929943058029283,-0.6884402371457387,-0.8844710246068763,0.09520924823957355,-8.222311336999317,-0.005381981748562016,4.8111443717761695,0.5000099337733636,0.5000005233132444,4.815619946106517,0.9997810112034536,4.378272655327378e-05,0.08090148919946179,0.9998867015459445,2.2657473428669745e-05,0.08696335224064827,0.9998870967755841,2.2637387213795977e-05,0.08000053037897006,0.9998874920082886,2.261730295529237e-05,0.08000050640204595,0.9998878872496911,2.259722181851133e-05,0.08199896344033525,0.9998947475707471,2.1172325166695683e-05,0.0799987089864551,0.9999016057110128,1.974973449093616e-05,0.07999714251015148,0.9999084549488615,1.8332318119615255e-05,0.08002333902120626,0.9999151816303611,1.6975524267936124e-05,0.07999455866259773,0.9999218918841761,1.5626704368922495e-05,0.0799934838009055,0.9999285853587272,1.4285770795323806e-05,0.08000509477000511,0.9999352427777005,1.2961189883784935e-05,0.0799916279003273,0.999941885733919,1.1643306456927975e-05,0.07999082088297894,0.999948517820833,1.0330815909686647e-05,0.07999881389809853,0.99995514370761,9.022712256664641e-06,0.07998939487156487,0.9999617745550242,7.715249317034465e-06,0.0799887592415134,0.9999684266604161,6.404262023375178e-06,0.07999559799221312,0.9999751329496683,5.081802630668656e-06,0.07998760856099536,0.9999819521372542,3.7333985425320546e-06,0.07998707807814302,0.9999890415402709,2.3200172834127273e-06,0.07999356986384092,0.9999970125805614,6.915961393353918e-07,0.07998599924126863
0.128763,-1.043098162873163e-05,-0.0010509587621324603,-0.012799257864189218,0.9982089914287657,0.04576377967153484,-0.0008727930041067234,-0.03851914250512959,-0.0007075379569639953,-0.032773914670689346,-0.20147104280373399,1.1921072770081969,-0.19183126860328897,-0.9999994505155686,-0.08052433675139607,-0.9170143832099037,-0.7754511079855483,0.2413791012290356,-8.364329925108855,-1.3078262343529473e-05,4.881122676190065,0.500005478998576,0.5000007375142755,4.881128833257719,0.9997372303133204,4.378089013319987e-05,0.08089561328803126,0.9998640448322752,2.2656713669362818e-05,0.0865676681836086,0.9998644559162013,2.2640859382808988e-05,0.08000053430423058,0.9998648670017757,2.2625006512880155e-05,0.08000051874290015,0.999865278094435,2.2609155256062516e-05,0.0823800549313896,0.999873583345537,2.1164225210042522e-05,0.07999870107934873,0.9998818832853272,1.9722425685553754e-05,0.07999711292273033,0.9998901671475844,1.8287801277124986e-05,0.08002294902201242,0.9998982494502284,1.6932180132623657e-05,0.0799945210333105,0.9999063048992088,1.558698496719151e-05,0.07999345402666122,0.9999143336608035,1.4251697923640744e-05,0.0800050163180075,0.9999223070089185,1.2935768782084e-05,0.07999161265871098,0.9999302581664254,1.1627567493552517e-05,0.07999081201071967,0.9999381925736367,1.0325247196364657e-05,0.07999880790197195,0.9999461165220671,9.027185542872914e-06,0.07998939681948258,0.9999540452150963,7.72933992789592e-06,0.07998876498657632,0.9999619991905906,6.427469825472089e-06,0.07999561217774612,0.9999700193606681,5.113589000268345e-06,0.07998762120050824,0.9999781795651576,3.7725720966454604e-06,0.07998709406223069,0.9999866789879143,2.3625523567217356e-06,0.07999358714864292,0.9999962892051064,7.233754550235626e-07,0.07998601054460536
0.150224,-4.132948066241914e-05,-0.0019571381329580397,-0.017301251537303483,0.9970625459828708,0.0584396493308304,-0.0038910640160812983,-0.04935530964691529,-0.0024356369814420866,-0.052453575814001265,-0.218112673859665,1.1972874126813549,-0.3713346456831743,-0.9999997311826726,-0.17584459814341613,-1.1446369953953806,-0.6810747345003414,0.3964726939929418,-8.498847856612386,-6.317152466225382e-06,4.946635101919985,0.5000039900947693,0.5000011738429945,4.946637549961932,0.9996934487344996,4.378157882080435e-05,0.08089080577885155,0.9998413884924217,2.2656339853538664e-05,0.0861860129032663,0.9998418128606229,2.264305557838329e-05,0.08000053599390014,0.999842237229255,2.2629772520769376e-05,0.0800005286557467,0.9998426616042321,2.26164902030954e-05,0.08274947939927624,0.9998524326206184,2.1150724918654414e-05,0.07999868797925802,0.999862194251765,1.9689033562130435e-05,0.07999707624646085,0.9998719302354067,1.823691217778392e-05,0.08002250963968918,0.9998813659436817,1.6883506546747108e-05,0.07999447813125837,0.9998907616784182,1.5543220790719946e-05,0.07999342151052646,0.999900118756599,1.4214904204620305e-05,0.08000493276295352,0.9999093984802749,1.2908528643559436e-05,0.07999159691754704,0.9999186475440482,1.1610622377203494e-05,0.07999080272810755,0.9999278739036981,1.0318669938547698e-05,0.0799988008530658,0.9999370863149322,9.030207134997768e-06,0.07998939785877178,0.9999463040606384,7.741154457786517e-06,0.07998876905494694,0.9999555517191846,6.447471405949692e-06,0.07999562421276243,0.9999648778801667,5.141480501349832e-06,0.07998763200217922,0.9999743720334142,3.8075317432470135e-06,0.07998710917351193,0.9999842780685125,2.4009194016808973e-06,0.07999360308855812,0.9999955371784806,7.520266259276611e-07,0.07998602143355037
0.171685,-0.00012971318650170738,-0.0033382302545981114,-0.022138225121985516,0.9956079151348365,0.07107540290579425,-0.008847714443479301,-0.06029000359937732,-0.006209364164685369,-0.07701815038766265,-0.23272893313939524,1.205795946912896,-0.5537248556831958,-0.9999998667524327,-0.3134368787519623,-1.3698423085585192,-0.5987730349327831,0.5540183384407422,-8.63048516157241,-2.9523136491630195e-06,5.012145003147157,0.500003813861867,0.5000022721412025,5.012145921687867,0.9996496635116274,4.3785222872239105e-05,0.08088680627668056,0.9998187319752533,2.2656517168348542e-05,0.08581537433169019,0.9998191683561658,2.2644504457127e-05,0.08000053589077327,0.999819604736302,2.263249295288821e-05,0.08000053773622953,0.999820041122652,2.2620481580067484e-05,0.08310921310218668,0.9998312994915582,2.113312906013273e-05,0.07999867158448716,0.9998425433550782,1.965089668684657e-05,0.07999703371426263,0.999853749162207,1.8181073199581526e-05,0.08002203513707284,0.9998645350728312,1.6830870850406367e-05,0.07999443087184555,0.9998752649491501,1.549672926808417e-05,0.0799933872739292,0.999885942109533,1.4176647065967305e-05,0.08000484719364873,0.9998965178079724,1.288067230255351e-05,0.07999158158621002,0.9999070539313725,1.1593612675757081e-05,0.07999079384382218,0.999917561753249,1.031215044912304e-05,0.07999879394282615,0.9999280535683233,9.032746609004761e-06,0.07998939848078275,0.999938552466459,7.751594179389563e-06,0.07998877165943431,0.9999490865414384,6.465177746258407e-06,0.07999563458066866,0.9999597113942094,5.166485957423127e-06,0.07998764124561507,0.9999705326513539,3.839382060403427e-06,0.07998712402919547,0.9999818418635824,2.436204930173851e-06,0.07999361817928842,0.9999947588481561,7.783303243911903e-07,0.0799860323614842
0.193145,-0.0003291796185996757,-0.005298579841333255,-0.027269443935711294,0.9938104064629959,0.08367836759058112,-0.01577171506554639,-0.07134465602321413,-0.012935901585030319,-0.1064157617510093,-0.2455789501565573,1.2176855021557813,-0.7389400786850463,-0.9999999301107979,-0.49463986356339784,-1.5906795602259536,-0.5301845339498928,0.7139599721150305,-8.759195616480024,-7.736554569957403e-07,5.077653847214497,0.5000062356210347,0.5000057184010657,5.077653974707408,0.999605871123557,4.379238807034498e-05,0.08088346339768328,0.9997960745331014,2.265744215190197e-05,0.08545422791781702,0.9997965228381159,2.2645518049900403e-05,0.08000053408007256,0.9997969711410247,2.2633595277368707e-05,0.080000546963414,0.9997974194505083,2.2621672143719157e-05,0.08346007869215384,0.9998101874272878,2.1112064270518263e-05,0.07999865303561943,0.9998229346757072,1.9608679371071666e-05,0.07999698589769842,0.9998356281032917,1.8121058915257294e-05,0.08002153382373711,0.9998477600405953,1.6775032235913382e-05,0.07999437966025193,0.9998598166911072,1.544825804289368e-05,0.07999335185402275,0.9998718044656189,1.4137643914074562e-05,0.08000476133613098,0.9998836649162962,1.2852891676223802e-05,0.07999156721829126,0.9998954767275235,1.1577203848881368e-05,0.07999078592349147,0.999907255437505,1.0306315743916624e-05,0.07999878790804925,0.9999190182092302,9.035359092934555e-06,0.07998939900573343,0.9999307913006915,7.761165767581135e-06,0.0799887728069584,0.9999426054238232,6.48111761521568e-06,0.07999564351933257,0.9999545221640289,5.189230180506118e-06,0.07998764902102944,0.9999666638188739,3.868832479950087e-06,0.07998713909653934,0.9999793727505087,2.469113073700958e-06,0.07999363277341212,0.9999939560505432,8.027976129779576e-07,0.07998604371411519
