t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19
0,0.0,0.0,0.0,1.0,5.087174889859182e-27,0.0,1.9857969659815642e-26,0.0,6.117694441309742e-20,-1.7759928250127176e-29,0.0,0.0,3.5154731096869874e-25,-1.0914460815367627e-06,-0.0047158208126160265,-1.6065615593288467,11.394473130193914,0.009471144174623402,-9.571361147949442,0.5000008821864521,4.488074159105064,0.5000072106938133,4.4880682237330705,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0174221,-1.2964602706433178e-10,-3.5818911360265104e-07,-0.00024468880582310184,0.99999936244879,0.0008646370184895676,3.598439971583082e-07,-0.0007262950574049511,-1.9015250178226236e-08,-8.215936092905328e-05,-0.027989628158585585,0.19851530999556383,0.0001650069380440099,-0.16675292518174936,-2.7888173730257913e-05,-0.033450069422212785,-1.484104680110957,11.5502004921569,0.06687057637990639,-9.702292269709917,0.5000009525527801,4.542630235009753,0.500008757602445,4.54262303323707,0.9999778139887598,2.21860112401585e-05,0.08389170881971782,0.9999782605358919,2.1739464108062602e-05,0.0800452665337062,0.9999787117014021,2.1288298597960143e-05,0.0801543219321215,0.999979492849443,2.0507150556955722e-05,0.00024365628282563696,0.9999802738923983,1.9726107601754544e-05,0.08004900538160052,0.9999812914171627,1.870858283728966e-05,0.08001577351640371,0.9999823592949678,1.7640705032236738e-05,0.08002024944321728,0.9999835672384839,1.6432761516135525e-05,0.0003040053040944176,0.9999847749439503,1.522505604960459e-05,0.08000835459057533,0.9999860387824843,1.3961217515672014e-05,0.08000211377297363,0.9999873317531203,1.2668246879766763e-05,0.08000231448566143,0.9999886566684929,1.1343331507142009e-05,0.0004402037196732057,0.9999899813082977,1.0018691702245768e-05,0.07999872476226674,0.999991328413974,8.671586025993956e-06,0.07999624655125576,0.9999926949727322,7.305027267676071e-06,0.07999636968492926,0.999994081722992,5.918277008041751e-06,0.0008426231655055722,0.999995468212256,4.531787743894605e-06,0.07999470923776113,0.9999968802062917,3.1197937082762156e-06,0.07999313911010052,0.9999983349086384,1.6650913616522133e-06,0.07999346369663715,0.999999925893135,7.410686495288595e-08,0.04862727801011567
0.0348441,-3.378582748848442e-09,-5.775553832321329e-06,-0.0009583593890855769,0.9999897293158484,0.0034703628704129863,5.775267068423864e-06,-0.0029150998892081602,-5.048849687703023e-07,-0.0006649288163352546,-0.05384580397924679,0.39974371301277467,0.001330030809526274,-0.33578694154931865,-0.0001921619712176997,-0.0921421946823723,-1.3646384255668718,11.705195436541642,0.18375341853597515,-9.833221012738523,0.5000010373765885,4.597186299066461,0.5000115186769077,4.597177100935803,0.9999556319039562,2.2182084803695582e-05,0.083547689890853,0.9999563109844863,2.194955140555383e-05,0.08004947928649624,0.9999569934281484,2.1718273253778658e-05,0.08029699833193349,0.9999582501420444,2.1242707398703858e-05,0.000235655126929177,0.9999595057450512,2.076814734709496e-05,0.08009419390684287,0.9999613456820539,1.9945735108793095e-05,0.08002354389405808,0.999963294578896,1.9064716071804522e-05,0.08003577757578814,0.9999658646461014,1.7702592382478165e-05,0.00028264826294992007,0.9999684301261857,1.63448177646057e-05,0.08001265346940346,0.9999711323913443,1.4906391139976915e-05,0.08000380941463561,0.999973886872393,1.3444880727329105e-05,0.08000377724987143,0.9999766888044485,1.196786404438316e-05,0.0004176917473880593,0.9999794852637458,1.0496044552026564e-05,0.07999925173062666,0.9999823020912173,9.026322756694182e-06,0.07999651850172576,0.9999851320658916,7.562906840719953e-06,0.07999655600881753,0.9999879713042703,6.1104187216448974e-06,0.0008166234530320229,0.9999908048978964,4.663314359735127e-06,0.07999477613953186,0.9999936581068405,3.2220994513159215e-06,0.07999318204559726,0.9999965849449298,1.7499637085869289e-06,0.07999349556225668,0.9999998451953391,8.069779597201795e-08,0.04618732761091289
0.0522662,-3.453370415838872e-08,-2.9494606958279666e-05,-0.002104285614062418,0.9999475711575541,0.007840713178162312,2.9441213319872005e-05,-0.006586142193031278,-3.852744308098182e-06,-0.002270236594241387,-0.07762063033479022,0.6036724488212182,0.004531395754321479,-0.5071020076602745,-0.0007241757186869065,-0.1821024372549198,-1.248781451064325,11.858239809761724,0.36248416605772754,-9.964144037363798,0.5000011412588573,4.651742348150514,0.500017517716449,4.651729675294626,0.9999334528383673,2.2179065588919277e-05,0.08331955170495714,0.9999342993183539,2.2011666132416435e-05,0.08005083810407013,0.9999351485047163,2.1844923431974316e-05,0.08040040528862806,0.9999367517469497,2.149839509459574e-05,0.00023461247377833572,0.9999383505536716,2.115519137949235e-05,0.08013336939409861,0.9999407900434406,2.055563861327315e-05,0.08002896483957399,0.9999433689533758,1.9925625520217214e-05,0.0800544901023416,0.9999474897993993,1.83748467020907e-05,0.00027408504447852126,0.9999515815781763,1.68485480095153e-05,0.08001517105607454,0.9999558585930572,1.5273798287033944e-05,0.08000455744896587,0.9999601898155333,1.3697056859682538e-05,0.08000430954503662,0.9999645552725932,1.2133531855206749e-05,0.0004137529374548009,0.999968887707979,1.0597555766783687e-05,0.07999936935161404,0.9999732178911853,9.084200032050753e-06,0.07999656402195517,0.9999775401412385,7.591924653093309e-06,0.07999657739984421,0.9999818444087546,6.126895515659925e-06,0.0008161803999061338,0.9999861160934624,4.688804433839638e-06,0.07999478920985274,0.9999903902768909,3.267829949607459e-06,0.07999320136853251,0.9999947800577329,1.8048871969503197e-06,0.07999351633460025,0.9999997606684506,8.452688844484397e-08,0.04484916736919687
0.0696883,-1.9195866374119806e-07,-9.405090853536224e-05,-0.0036467335251687957,0.9998328636428201,0.013998867945207548,9.375793185006593e-05,-0.011758725855136157,-1.6469384467215826e-05,-0.005442838027370828,-0.09937698835522689,0.8102675344332655,0.010846620317250314,-0.6806980238881929,-0.0019843471601283863,-0.30459142645999154,-1.137548017713322,12.007420120047751,0.605440190925295,-10.095043626031007,0.5000012709841763,4.706298377951428,0.500039214589875,4.706278462648459,0.9999112764562305,2.2176382136810916e-05,0.08313590334477043,0.9999122561949944,2.204312335955098e-05,0.08005154801476475,0.9999132382101266,2.1910294589788637e-05,0.08048634951699085,0.9999151231767797,2.1628570170132442e-05,0.00023764749447534794,0.9999169967267065,2.1353826965056997e-05,0.08016695526223042,0.9999198662459574,2.0923797483149873e-05,0.08003302130551854,0.9999228787035527,2.0490249823069433e-05,0.08007684465922583,0.9999287384713667,1.875132803262571e-05,0.000273062780652478,0.9999344888964097,1.709268176661789e-05,0.08001656864914715,0.9999404331753201,1.5425417737096696e-05,0.08000488286957808,0.9999464191357302,1.3770679802988104e-05,0.08000447103788497,0.99995241594366,1.213932893323485e-05,0.0004179843789486118,0.9999582948678507,1.0592840128281953e-05,0.07999936378531892,0.9999641486577292,9.069233455986433e-06,0.07999655221919429,0.9999699726303086,7.567510929842094e-06,0.0799965594480418,0.9999757555947922,6.088813962370567e-06,0.0008256742527718034,0.9999814258366334,4.690256829064456e-06,0.07999478992383674,0.9999870896490846,3.300627806341104e-06,0.07999321527731632,0.9999929301867058,1.8498710271974848e-06,0.07999353345296412,0.9999996733399782,8.732847239665426e-08,0.04390780079592085
0.0871104,-7.370044716645672e-07,-0.00023166375354568015,-0.005551208113978725,0.9995883855626959,0.021967219310981764,0.0002306865634724062,-0.018451216350133637,-5.104081985792787e-05,-0.01074945122087328,-0.11919542969875886,1.0194616498734836,0.021394641784502032,-0.8565745819301689,-0.0033129185133654766,-0.641666035891339,2.4180056350128973,6.033837732217316,5.393867280419282,-5.113137980828779,0.5000014361856644,4.760854382893612,4.7607164980460634,4.760811868695434,0.9998891025516565,2.2173904573937906e-05,0.08297693112168088,0.9998901935670024,2.2062627991905107e-05,0.0800519958435503,0.9998912865398081,2.1951670318442263e-05,0.08056223333738317,0.999893412920403,2.171025637660775e-05,0.0002455467378243223,0.9998955225003858,2.1474226320801125e-05,0.08019590475428305,0.9998987020179322,2.1164228025263337e-05,0.08003609018835028,0.9999020136875207,2.0865016031971745e-05,0.08010193602428436,0.9999097533275637,1.8985143802921077e-05,0.00027855034990068316,0.9999172722981724,1.7216598237240124e-05,0.08001732950038792,0.999924947370909,1.5485804411126202e-05,0.08000501536640105,0.9999326362990273,1.3782836703009646e-05,0.0800044981978458,0.9999402977970083,1.2118146651635265e-05,0.0004274601484546988,0.9999477308218072,1.0564046043513267e-05,0.07999933011641867,0.9999551102213525,9.038436376681694e-06,0.07999652800173197,0.9999624357354995,7.536894809257241e-06,0.07999653705367447,0.9999696943595761,6.0612352161487995e-06,0.0008381259040438883,0.9999767376947617,4.688141871712695e-06,0.07999478876739996,0.9999837600184136,3.3296306708820556e-06,0.07999322761234536,0.9999910403389668,1.8898477390123037e-06,0.0799935487681806,0.9999995837414535,8.95985247741504e-08,0.04316978733383559
0.104532,-2.240395164428725e-06,-0.0005107164194647215,-0.007259236181022164,0.9991636953893588,0.03131105065390469,0.0008240926119231514,-0.026283992634956236,-0.00010875871854058488,-0.021928601899727524,-0.0770687659451153,1.1245835940114717,0.1153669758286247,-0.9456560304286167,0.008858849301679485,-0.7806541870270349,1.095252252302656,3.562529835851659,7.426512423304383,-3.1189594155207243,0.5000016488377128,4.81541035704215,4.815386602005827,3.0991107400686593,0.999866930901282,2.2171650374518192e-05,0.08283401895519239,0.9998681175269505,2.207604005196217e-05,0.08005230731106149,0.9998693058547965,2.198068501160962e-05,0.0806315049360731,0.9998716450570792,2.1767863323927335e-05,0.0002559647351237573,0.9998739679696593,2.155453072648707e-05,0.08022087737549892,0.9998773720767965,2.132994113577381e-05,0.08003843909847318,0.9998808923693432,2.1121318177655362e-05,0.08012893855764222,0.9998905850071083,1.916832045547384e-05,0.00028706235015151736,0.9998999979748716,1.727432330087165e-05,0.08001769558363697,0.9999094494846749,1.5497886234058017e-05,0.08000504208312703,0.9999188726313561,1.3763667671099701e-05,0.08000445627236367,0.9999281791076681,1.2118689340241908e-05,0.00043845556296767766,0.9999372051976274,1.0525624179711637e-05,0.07999928536607713,0.9999461067101187,9.003511233753813e-06,0.07999650065006823,0.9999549303035672,7.5054319323286085e-06,0.07999651421866569,0.9999636239230404,6.0704365356703245e-06,0.0008478672729336315,0.999972054038477,4.683656284635456e-06,0.07999478632205365,0.9999804025078247,3.3575105889213604e-06,0.07999323950185652,0.9999891135853674,1.926753599479564e-06,0.07999356303368609,0.999999492207582,9.153387139665784e-08,0.04255790283576172
0.121954,-3.3160033392937875e-06,-0.0010058202214674942,-0.008434679481671498,0.9985366946479856,0.041403352516501894,0.00239048111982601,-0.0347061457562942,4.558077528530984e-05,-0.03552921389523533,-0.057987204392869925,1.1866502386603148,0.24475219610629853,-0.9999947601058126,0.0336162537322657,-0.8100193430151499,-0.9586478748240608,-0.28718866130911175,10.379306309142803,-8.495811512483501e-05,0.5000019152168821,4.8699663027597095,4.869953106201987,0.5000595170884302,0.9998447612190569,2.2169682225172853e-05,0.08270255426500538,0.9998460316848404,2.208584211005054e-05,0.08005253675705142,0.9998473036402988,2.2002214497751362e-05,0.08069605355551632,0.9998498406108577,2.180444622139448e-05,0.0002651633864101278,0.9998523565502421,2.1611419417310273e-05,0.08024231516638357,0.9998559229641446,2.1449112651780737e-05,0.08004026363404593,0.9998595892439862,2.1303125356927647e-05,0.08015728373747417,0.999871379375657,1.92056314513754e-05,0.0002961380515049473,0.9998827139294264,1.728404544514516e-05,0.080017755273468,0.9998939680025773,1.5481482097561937e-05,0.08000500583754037,0.9999051636343734,1.3708996982711316e-05,0.08000433720012173,0.9999161737335732,1.2005374094899597e-05,0.0004519111715210029,0.9999267402591459,1.046493848161688e-05,0.07999921523768551,0.9999371377633152,8.968946803535307e-06,0.07999647369856228,0.9999474669466787,7.46335688838762e-06,0.07999648390641778,0.9999576330757229,5.990847317407958e-06,0.0008682974896546687,0.9999673826089625,4.67142951455874e-06,0.07999477979537277,0.9999770169827126,3.3855251120345027e-06,0.07999325147924641,0.9999871520357722,1.9615495951282194e-06,0.07999357664179235,0.9999993989888449,9.321873706820939e-08,0.04203663557350969
0.139377,1.6365166905312554e-06,-0.0017431650196574875,-0.009590448336114395,0.9977049666669477,0.0517838942421907,0.005308058631392917,-0.043301863705081205,0.0006312455053961514,-0.04964142769781585,-0.07468883490029543,1.181646817661768,0.4255811985494619,-0.9999962402520526,0.08408248607876022,-1.0017666590321312,-0.872604248458025,-0.4430642208402461,10.490794916185884,-4.788899316198369e-05,0.5000022672508417,4.924522205651042,4.924513272577659,0.5000332416717647,0.9998225932080875,2.216801096930095e-05,0.0825797386862088,0.9998239383780498,2.2093306790611592e-05,0.08005271226552378,0.9998252848512231,2.201878907567154e-05,0.08075719115594196,0.9998280101454511,2.1830465406525628e-05,0.0002763010519397972,0.9998307028940819,2.1653656160129697e-05,0.08026069681981446,0.9998343849654369,2.153799870777408e-05,0.08004170634767654,0.9998381519383965,2.1437305589676083e-05,0.08018677109206754,0.9998522291755767,1.9150200080244698e-05,0.00030829843911556285,0.9998654421982238,1.727173120260822e-05,0.0800176711863296,0.999878510442194,1.5457560383393238e-05,0.08000495318551008,0.9998915168886129,1.3646745760429521e-05,0.08000420372847955,0.9999043387141575,1.1835019415774302e-05,0.000469285503078004,0.9999163351372904,1.0405121855401025e-05,0.07999914661716,0.9999281908800098,8.946883305426082e-06,0.0799964565614805,0.9999400418664781,7.425080200567729e-06,0.07999645665395204,0.9999517734516556,5.859624067271228e-06,0.0008982498599822957,0.9999627240277892,4.658581173280415e-06,0.07999477283328184,0.9999736021544713,3.4148282413732618e-06,0.07999326403590912,0.9999851572551112,1.994780660960176e-06,0.07999358980485856,0.9999993042503689,9.473847608861797e-08,0.04157695048101455
0.156799,2.3811434721559284e-05,-0.0027554056191961664,-0.011023940793895787,0.9966719987718947,0.06216759779989936,0.009807029260234381,-0.05180673620190085,0.0020961364747637454,-0.06709427668773658,-0.08989140731472903,1.1739277217331485,0.6083525633234893,-0.99999707457745,0.16080412990909557,-1.1982371543517891,-0.7949247648419354,-0.6005589611835374,10.599921666228123,-3.450288592224283e-05,0.5000027529033795,4.9790780515446516,4.9790715342384795,0.5000249880021415,0.9998004265359697,2.216667211789792e-05,0.08246374683030777,0.9998018392220483,2.2099156001445658e-05,0.08005284957815716,0.999803253037431,2.203181379214713e-05,0.08081578886683602,0.9998061580043078,2.185214114332522e-05,0.0002930962133510222,0.9998090167871609,2.1686106921018482e-05,0.08027638814977152,0.9998127787357886,2.1606229648245623e-05,0.08004286563242137,0.9998166124046248,2.1539533771723227e-05,0.08021729481733886,0.9998331367357277,1.909243984905739e-05,0.00032610520662938616,0.9998481868685709,1.725532965279323e-05,0.08001755960506503,0.9998630716374749,1.5438804719045435e-05,0.08000491203665293,0.9998779164649331,1.3600423679764298e-05,0.08000410638234906,0.9998926439461514,1.1694768006025587e-05,0.0004913376981523382,0.9999059681026214,1.0367034668930037e-05,0.07999910285002201,0.9999192451763103,8.945703699532359e-06,0.07999645567042524,0.9999326379240326,7.403942445572649e-06,0.07999644203468488,0.9999460357453644,5.737706291160767e-06,0.0009332298634399916,0.9999580717634384,4.6522643507082745e-06,0.07999476907459774,0.9999701559972209,3.446157250404199e-06,0.07999327748479773,0.9999831304804442,2.0267746669696024e-06,0.07999360265463376,0.9999992080866019,9.616376685653636e-08,0.041156995128036986
